method_name,gpu_num,remote,preprocess,render,copy,present,total
benchmark,1,0.167725556,0.764530603,0.02218389,0.000949716,54.22450693,55.1798967
multithread,1,0.158252061,0.847143218,0.022625801,0.001490536,54.01513906,55.04465067
gVulkan,1,0.1733198,0.717558121,53.37267232,0,0.122668061,54.3862183
benchmark,2,0.191423884,0.820635452,27.02130545,0.145169689,1.322155639,29.50069011
multithread,2,0.183749821,0.802527328,26.85302953,0.081776716,1.304443941,29.22552733
gVulkan,2,0.179601973,0.709398289,27.02579793,0.188359555,0.132354276,28.23551203
benchmark,4,0.238179671,0.867492521,14.13106163,0.175562017,1.211321759,16.6236176
multithread,4,0.231371143,0.860571691,14.11993187,0.194152512,1.206833558,16.61286078
gVulkan,4,0.219394805,0.713398012,14.27199202,0.344143005,0.138251586,15.68717943
local_oneGPU,1,0,0,0,0,54.85672011,54.85672011
