method_name,gpu_num,remote,preprocess,render,copy,present
benchmark,1,0.167725556,0.763827364,0.022190656,0.000948276,54.225553
multithread,1,0.158252061,0.844064373,0.022621254,0.001499541,54.01008519
gVulkan,1,0.1733198,0.717072773,53.37088589,0,0.122843
benchmark,2,0.191423884,0.820840234,27.01946689,0.145257214,1.322708009
multithread,2,0.183749821,0.803098445,26.85211148,0.081783134,1.306162007
gVulkan,2,0.179601973,0.709549013,27.02362854,0.188021094,0.132266404
benchmark,4,0.238179671,0.867059109,14.13101749,0.175713928,1.211804261
multithread,4,0.231371143,0.859521429,14.11961259,0.194152663,1.206542952
gVulkan,4,0.219394805,0.71396783,14.27144116,0.344200797,0.138246151
local_oneGPU,1,0,0,0,0,54.85248863
