networklatency,method,fps,,,,scene1/720p32,bench,multi,gvulkan,single,,,,,,,
0,benchmark,26.47487094,,,,latency,1,1,1,1,,,360,54.60,41.64,30.25,37.11
0,multithread,30.63268649,,,,0,26.47487094,30.63268649,33.98371749,25.69523307,,,480,54.63,41.70,30.25,37.14
0,gvulkan,33.98371749,,,,0.1,26.03319383,30.0552044,34.01041777,20.70651122,,,720,54.68,42.06,31.52,38.41
0,single,25.69523307,,,,0.2,25.58651325,29.31903798,34.07282984,17.81522794,,,1080,54.68,42.07,38.78,38.26
1,benchmark,26.03319383,,,,0.3,24.70251651,28.75653668,33.96143498,15.08161087,,,,,,,
1,multithread,30.0552044,,,,0.5,23.56258851,27.52863682,34.04135185,12.17795681,,,,,,,
1,gvulkan,34.01041777,,,,1,20.73856625,25.0037853,34.04289829,7.951066451,,,,,,,
1,single,20.70651122,,,,2,17.22066733,21.11498376,34.012401,4.702289361,,,,,,,
2,benchmark,25.58651325,,,,3,14.38049866,18.01943793,34.09232056,3.309725198,,,,,,,
2,multithread,29.31903798,,,,4,12.15371599,15.85835682,29.01687444,2.560051767,,,,,,,
2,gvulkan,34.07282984,,,,5,10.56006142,14.0253309,23.54237638,2.084184404,,,,,,,
2,single,17.81522794,,,,,,,,,,,,,,,
3,benchmark,24.70251651,,,,,,,,,,,,,,,
3,multithread,28.75653668,,,,,,,,,,,,,,,
3,gvulkan,33.96143498,,,,,,,,,,,,,,,
3,single,15.08161087,,,,,,,,,,,,,,,
5,benchmark,23.56258851,,,,,,,,,,,,,,,
5,multithread,27.52863682,,,,,,,,,,,,,,,
5,gvulkan,34.04135185,,,,,,,,,,,,,,,
5,single,12.17795681,,,,,,,,,,,,,,,
1,benchmark,20.73856625,,,,,,,,,,,,,,,
1,multithread,25.0037853,,,,,,,,,,,,,,,
1,gvulkan,34.04289829,,,,,,,,,,,,,,,
1,single,7.951066451,,,,,,,,,,,,,,,
2,benchmark,17.22066733,,,,,,,,,,,,,,,
2,multithread,21.11498376,,,,,,,,,,,,,,,
2,gvulkan,34.012401,,,,,,,,,,,,,,,
2,single,4.702289361,,,,,,,,,,,,,,,
3,benchmark,14.38049866,,,,,,,,,,,,,,,
3,multithread,18.01943793,,,,,,,,,,,,,,,
3,gvulkan,34.09232056,,,,,,,,,,,,,,,
3,single,3.309725198,,,,,,,,,,,,,,,
4,benchmark,12.15371599,,,,,,,,,,,,,,,
4,multithread,15.85835682,,,,,,,,,,,,,,,
4,gvulkan,29.01687444,,,,,,,,,,,,,,,
4,single,2.560051767,,,,,,,,,,,,,,,
5,benchmark,10.56006142,,,,,,,,,,,,,,,
5,multithread,14.0253309,,,,,,,,,,,,,,,
5,gvulkan,23.54237638,,,,,,,,,,,,,,,
5,single,2.084184404,,,,,,,,,,,,,,,
