resolution,method,gpunum,total_latency,lp,rw,ic,sb,pr,sp,preprocess,FPS,localFPS,speedup
360,benchmark,1,14.23087889,0.414056667,12.04298,0.00117,0.663677778,0.544598889,0.564395556,0.978452222,70.26972879,77.02,0.912356905
360,benchmark,2,10.10601111,0.537353333,7.543435556,0.054165556,0.754711111,0.58176,0.634585556,1.171938889,98.95100936,77.02,1.284744344
360,benchmark,4,8.384223333,0.393412222,6.010335556,0.070707778,0.684423333,0.508143333,0.717201111,1.110613333,119.271632,77.02,1.548580005
360,multithread,1,13.64571111,0.476376667,12.07796556,0.001142222,0.009125556,0.528914444,0.552186667,1.028563333,73.28309913,77.02,0.951481422
360,multithread,2,9.447254444,0.441487778,7.689994444,0.228655556,0.004683333,0.467138889,0.615294444,1.056782222,105.8508592,77.02,1.374329514
360,multithread,4,7.8926,0.466717778,6.003506667,0.341237778,0.004843333,0.43129,0.645004444,1.111722222,126.7009604,77.02,1.645039735
360,gvulkan,1,12.36875556,0.44549,10.39162889,0.00737,0.008326667,0.069044444,1.446895556,1.892385556,80.84887728,77.02,1.049712767
360,gvulkan,2,7.108845556,0.462843333,4.49269,0.177575556,0.004922222,0.100004444,1.87081,2.333653333,140.6698165,77.02,1.826406343
360,gvulkan,4,4.449978889,0.394053333,0.891152222,0.459894444,0.004306667,0.166544444,2.534027778,2.928081111,224.7201672,77.02,2.91768589
480,benchmark,1,23.93399556,0.47198,20.53835111,0.001795556,1.21207,1.083958889,0.62584,1.09782,41.78157373,45.085,0.926728928
480,benchmark,2,16.00093333,0.437445556,12.46742889,0.07082,1.31665,1.046002222,0.662586667,1.100032222,62.49635438,45.085,1.386189517
480,benchmark,4,12.12565667,0.409398889,8.49913,0.108056667,1.378094444,1.020564444,0.710412222,1.119811111,82.4697604,45.085,1.829206175
480,multithread,1,22.77394778,0.520402222,20.78967889,0.001691111,0.010725556,0.808745556,0.642704444,1.163106667,43.9098223,45.085,0.973934175
480,multithread,2,14.95925556,0.549445556,12.52560444,0.191236667,0.00383,1.02334,0.665798889,1.215244444,66.84824631,45.085,1.482715899
480,multithread,4,10.71747,0.399248889,8.495468889,0.441258889,0.004585556,0.624598889,0.752308889,1.151557778,93.30560291,45.085,2.069548695
480,gvulkan,1,21.18772556,0.486347778,19.08847889,0.008248889,0.010952222,0.075382222,1.518315556,2.004663333,47.19713767,45.085,1.046847902
480,gvulkan,2,11.40687444,0.401108889,8.87285,0.156858889,0.00554,0.106251111,1.864265556,2.265374444,87.66643351,45.085,1.944470079
480,gvulkan,4,6.686681111,0.396186667,3.171688889,0.286482222,0.00496,0.156207778,2.671155556,3.067342222,149.5510229,45.085,3.317090449
720,benchmark,1,66.59809,0.964476667,55.81714,0.002476667,4.415552222,4.642485556,0.755958889,1.720435556,15.01544564,16.671792,0.90064977
720,benchmark,2,44.50702,1.053476667,33.29976222,0.264551111,4.500345556,4.47168,0.917204444,1.970681111,22.46836566,16.671792,1.347687499
720,benchmark,4,30.30980333,0.731501111,19.81085444,0.62269,4.249182222,3.924206667,0.971368889,1.70287,32.99262582,16.671792,1.978948983
720,multithread,1,59.77948111,0.876807778,55.66721333,0.004324444,0.021686667,2.478851111,0.730597778,1.607405556,16.72814788,16.671792,1.003380313
720,multithread,2,38.48486333,0.816478889,34.17835333,0.246874444,0.006337778,2.47521,0.761608889,1.578087778,25.98424194,16.671792,1.558575224
720,multithread,4,24.85858778,0.780062222,20.15927444,0.473256667,0.004935556,2.605161111,0.835897778,1.61596,40.22754667,16.671792,2.412910782
720,gvulkan,1,56.46978111,0.604745556,54.23885556,0.008735556,0.015354444,0.084923333,1.517166667,2.121912222,17.70858644,16.671792,1.062188542
720,gvulkan,2,29.58247667,0.576246667,26.75718,0.22875,0.006128889,0.113657778,1.900513333,2.47676,33.80379578,16.671792,2.027604218
720,gvulkan,4,15.36703556,0.559641111,11.40381,0.47394,0.006246667,0.174025556,2.749372222,3.309013333,65.07435975,16.671792,3.903261254
1080,benchmark,1,150.3815867,0.96974,124.7303678,0.003032222,10.09033556,13.86017,0.727941111,1.697681111,6.649750293,7.3527,0.904395704
1080,benchmark,2,98.94043556,0.991252222,72.55803556,0.686142222,9.61146,14.40325667,0.690288889,1.681541111,10.10709114,7.3527,1.374609483
1080,benchmark,4,68.45103667,0.928191111,43.70443667,0.941848889,10.28416889,11.42861889,1.163772222,2.091963333,14.60898255,7.3527,1.986886796
1080,multithread,1,136.2590667,1.060376667,126.0543533,0.004316667,0.01799,8.307018889,0.815011111,1.875387778,7.338961175,7.3527,0.998131459
1080,multithread,2,83.34052778,0.971311111,73.56094222,0.403026667,0.004928889,7.471403333,0.928915556,1.900226667,11.99896409,7.3527,1.631912643
1080,multithread,4,56.09674444,0.988067778,44.18680667,0.793343333,0.007764444,9.050846667,1.069915556,2.057983333,17.82634643,7.3527,2.424462637
1080,gvulkan,1,127.47512,0.813466667,124.9583556,0.009804412,0.012782609,0.089183333,1.591527424,2.404994091,7.844668042,7.3527,1.066909848
1080,gvulkan,2,64.58304556,0.679946667,61.44390778,0.294395556,0.006771111,0.117191111,2.040833333,2.72078,15.48393996,7.3527,2.105884908
1080,gvulkan,4,33.16443667,0.728287778,28.77408889,0.606321111,0.005685556,0.191921111,2.858132222,3.58642,30.15278113,7.3527,4.100912743
