scene,method,gpunum,total_latency,lp,rw,ic,sb,pr,sp,preprocess,FPS,localFPS,speedup,avespeedup,local_latency,,,,,,,,,
scene1,benchmark,1,66.59809,0.964476667,55.81714,0.002476667,4.415552222,4.642485556,0.755958889,1.720435556,15.01544564,16.671792,0.90064977,3.810801496,59.98155447,,,,,,,,,
scene1,benchmark,2,44.50702,1.053476667,33.29976222,0.264551111,4.500345556,4.47168,0.917204444,1.970681111,22.46836566,16.671792,1.347687499,,59.98155447,,,,,,,,,
scene1,benchmark,4,30.30980333,0.731501111,19.81085444,0.62269,4.249182222,3.924206667,0.971368889,1.70287,32.99262582,16.671792,1.978948983,,59.98155447,,,,,,,,,
scene1,multithread,1,59.77948111,0.876807778,55.66721333,0.004324444,0.021686667,2.478851111,0.730597778,1.607405556,16.72814788,16.671792,1.003380313,,59.98155447,,,,,,,,,
scene1,multithread,2,38.48486333,0.816478889,34.17835333,0.246874444,0.006337778,2.47521,0.761608889,1.578087778,25.98424194,16.671792,1.558575224,,59.98155447,,,,,,,,,
scene1,multithread,4,24.85858778,0.780062222,20.15927444,0.473256667,0.004935556,2.605161111,0.835897778,1.61596,40.22754667,16.671792,2.412910782,,59.98155447,,,,,,,,,
scene1,gvulkan,1,56.46978111,0.604745556,54.23885556,0.008735556,0.015354444,0.084923333,1.517166667,2.121912222,17.70858644,16.671792,1.062188542,,59.98155447,,,,,,,,,
scene1,gvulkan,2,29.58247667,0.576246667,26.75718,0.22875,0.006128889,0.113657778,1.900513333,2.47676,33.80379578,16.671792,2.027604218,,59.98155447,,,,,,,,,
scene1,gvulkan,4,15.36703556,0.559641111,11.40381,0.47394,0.006246667,0.174025556,2.749372222,3.309013333,65.07435975,16.671792,3.903261254,,59.98155447,,,,,,,,,
scene3,benchmark,1,104.24872,1.517577778,92.70954556,0.002813333,4.381127778,4.874378889,0.763276667,2.280854444,9.592443917,10.21055475,0.939463541,,97.93787159,,,,,,,,,
scene3,benchmark,2,67.05037889,0.92697,55.99793444,0.293608889,4.454535556,4.518732222,0.858597778,1.785567778,14.91415882,10.21055475,1.460660972,,97.93787159,,,,,,,,,
scene3,benchmark,4,45.47967667,0.870014444,34.21870889,0.64764,4.277766667,4.496894444,0.968652222,1.838666667,21.98784321,10.21055475,2.153442565,,97.93787159,,,,,,,,,
scene3,multithread,1,98.79964778,0.855245556,94.28390222,0.003984444,0.017222222,2.86952,0.769773333,1.625018889,10.12149357,10.21055475,0.991277538,,97.93787159,,,,,,,,,
scene3,multithread,2,62.00601667,0.828146667,57.52567444,0.293953333,0.005308889,2.50471,0.848223333,1.67637,16.1274672,10.21055475,1.579489812,,97.93787159,,,,,,,,,
scene3,multithread,4,40.51789889,0.825527778,35.88944,0.435205556,0.005904444,2.48831,0.873511111,1.699038889,24.68045055,10.21055475,2.417150797,,97.93787159,,,,,,,,,
scene3,gvulkan,1,95.51930889,0.730605556,93.12107333,0.009291111,0.01471,0.087341111,1.556287778,2.286893333,10.46908747,10.21055475,1.025320145,,97.93787159,,,,,,,,,
scene3,gvulkan,2,49.21157667,0.668844444,46.29881444,0.304562222,0.006987778,0.110253333,1.822114444,2.490958889,20.3204219,10.21055475,1.99013887,,97.93787159,,,,,,,,,
scene3,gvulkan,4,27.12157667,0.596456667,23.25005889,0.440491111,0.005632222,0.177891111,2.651046667,3.247503333,36.87101278,10.21055475,3.611068516,,97.93787159,,,,,,,,,
scene4,benchmark,1,45.05532333,1.163513333,34.19850111,0.003241111,4.45657,4.403185556,0.830312222,1.993825556,22.1949356,25.50342,0.870272913,,39.21042746,,,,,,,,,
scene4,benchmark,2,27.40168,0.815925556,17.19727667,0.277217778,4.363378889,3.948481111,0.7994,1.615325556,36.49411277,25.50342,1.430949762,,39.21042746,,,,,,,,,
scene4,benchmark,4,19.89535556,0.723614444,9.75906,0.5399,4.115963333,3.855224444,0.901593333,1.625207778,50.26298712,25.50342,1.970833211,,39.21042746,,,,,,,,,
scene4,multithread,1,39.24062222,0.747783333,35.06660111,0.00326,0.017247778,2.679537778,0.726192222,1.473975556,25.4837957,25.50342,0.999230523,,39.21042746,,,,,,,,,
scene4,multithread,2,21.95827667,0.723305556,17.56175556,0.290211111,0.00526,2.65708,0.720664444,1.44397,45.54091449,25.50342,1.785678724,,39.21042746,,,,,,,,,
scene4,multithread,4,14.96113778,0.704793333,9.785381111,0.947825556,0.00461,2.683837778,0.83469,1.539483333,66.8398363,25.50342,2.620818553,,39.21042746,,,,,,,,,
scene4,gvulkan,1,35.86234556,0.581355556,33.70176444,0.008528889,0.011994444,0.082951111,1.475751111,2.057106667,27.88440032,25.50342,1.093359256,,39.21042746,,,,,,,,,
scene4,gvulkan,2,18.16885556,0.614907778,15.31577778,0.245517778,0.00551,0.106477778,1.880664444,2.495572222,55.03923992,25.50342,2.158112125,,39.21042746,,,,,,,,,
scene4,gvulkan,4,9.893712222,0.514285556,6.017612222,0.54222,0.007898889,0.160216667,2.651478889,3.165764444,101.0742962,25.50342,3.963166361,,39.21042746,,,,,,,,,
scene5,benchmark,1,102.9570578,0.979193333,91.97521,0.004472222,4.610524444,4.523375556,0.864282222,1.843475556,9.712787269,10.21565591,0.950774708,,97.88896655,,,,,,,,,
scene5,benchmark,2,58.25177444,0.893964444,47.23302556,0.294487778,4.49011,4.463338889,0.876847778,1.770812222,17.16685903,10.21565591,1.680446089,,97.88896655,,,,,,,,,
scene5,benchmark,4,37.28065778,0.84303,26.51594444,0.647772222,4.245064444,4.066563333,0.962283333,1.805313333,26.82356105,10.21565591,2.62573067,,97.88896655,,,,,,,,latency,FPS
scene5,multithread,1,98.84925111,0.795998889,94.43188,0.004325556,0.018722222,2.820641111,0.777683333,1.573682222,10.11641453,10.21565591,0.990285364,,97.88896655,,,scene5,local,30.566113,29.973156,30.2696345,97.88896655,10.21565591
scene5,multithread,2,52.96528333,0.777176667,48.40672444,0.324887778,0.006495556,2.641334444,0.808664444,1.585841111,18.88029171,10.21565591,1.848172244,,97.88896655,,,,mt,29.977304,29.973848,29.975576,,
scene5,multithread,4,32.19237778,0.724054444,27.72324889,0.505015556,0.004574444,2.357906667,0.877577778,1.601632222,31.06325376,10.21565591,3.040749808,,97.88896655,,,,,,,,,
scene5,gvulkan,1,95.51831,0.638298889,93.25085,0.008645556,0.013698889,0.082683333,1.524133333,2.162432222,10.46919695,10.21565591,1.02481887,,97.88896655,,,,,,,,,
scene5,gvulkan,2,48.81984556,0.618695556,45.86041667,0.257646667,0.005952222,0.120227778,1.956906667,2.575602222,20.48347324,10.21565591,2.005106027,,97.88896655,,,,,,,,,
scene5,gvulkan,4,25.99482444,0.562817778,22.21107111,0.463795556,0.005446667,0.170183333,2.58151,3.144327778,38.46919613,10.21565591,3.765709853,,97.88896655,,,,,,,,,
