spp,method,gpunum,fps,,,scene1/720p,bench,,,multi,,,gvulkan,,,
4,benchmark,1,59.03574943,,,,1,2,4,1,2,4,1,2,4,
4,benchmark,2,70.59348413,,,4,59.03574943,70.59348413,84.74865151,87.55637171,114.1903454,135.2901704,128.6371989,242.3348152,222.9641699,108.7503333
4,benchmark,4,84.74865151,,,8,42.89175855,54.45910551,65.45654485,54.46880868,79.79514989,104.5095888,67.52796333,128.8520315,237.6105879,61.88
4,multithread,1,87.55637171,,,16,26.99818194,37.92992303,50.0180454,30.71250556,48.97170573,66.88659972,35.02881899,66.47693657,128.133213,32.30733333
4,multithread,2,114.1903454,,,32,15.01544564,22.46836566,32.99262582,16.72814788,25.98424194,40.22754667,17.71333274,33.80221894,65.07077929,16.671792
4,multithread,4,135.2901704,,,64,8.234842407,12.8885063,19.52889111,8.386158991,13.89424503,21.97479418,8.90121133,17.03280446,32.82922957,8.411333333
4,gvulkan,1,128.6371989,,,128,4.292226472,6.845462282,10.70209259,4.263670056,7.085384496,11.40726136,4.466644883,8.546309908,16.51310912,4.244
4,gvulkan,2,242.3348152,,,256,2.171303912,3.532476569,5.623773385,2.153412762,3.596983239,5.810157256,2.220500495,4.262684806,8.223593964,2.13
4,gvulkan,4,222.9641699,,,,,,,,,,,,,
8,benchmark,1,42.89175855,,,,,,,,,,,,,
8,benchmark,2,54.45910551,,,,,,,,,,,,,
8,benchmark,4,65.45654485,,,,,,,,,,,,,
8,multithread,1,54.46880868,,,,,,,,,,,,,
8,multithread,2,79.79514989,,,,,,,,,,,,,
8,multithread,4,104.5095888,,,,,,,,,,,,,
8,gvulkan,1,67.52796333,,,,,,,,,,,,,
8,gvulkan,2,128.8520315,,,,,,,,,,,,,
8,gvulkan,4,237.6105879,,,,,,,,,,,,,
16,benchmark,1,26.99818194,,,,,,,,,,,,,
16,benchmark,2,37.92992303,,,,,,,,,,,,,
16,benchmark,4,50.0180454,,,,,,,,,,,,,
16,multithread,1,30.71250556,,,,,,,,,,,,,
16,multithread,2,48.97170573,,,,,,,,,,,,,
16,multithread,4,66.88659972,,,,,,,,,,,,,
16,gvulkan,1,35.02881899,,,,,,,,,,,,,
16,gvulkan,2,66.47693657,,,,,,,,,,,,,
16,gvulkan,4,128.133213,,,,,,,,,,,,,
32,benchmark,1,15.01544564,,,,,,,,,,,,,
32,benchmark,2,22.46836566,,,,,,,,,,,,,
32,benchmark,4,32.99262582,,,,,,,,,,,,,
32,multithread,1,16.72814788,,,,,,,,,,,,,
32,multithread,2,25.98424194,,,,,,,,,,,,,
32,multithread,4,40.22754667,,,,,,,,,,,,,
32,gvulkan,1,17.71333274,,,,,,,,,,,,,
32,gvulkan,2,33.80221894,,,,,,,,,,,,,
32,gvulkan,4,65.07077929,,,,,,,,,,,,,
64,benchmark,1,8.234842407,,,,,,,,,,,,,
64,benchmark,2,12.8885063,,,,,,,,,,,,,
64,benchmark,4,19.52889111,,,,,,,,,,,,,
64,multithread,1,8.386158991,,,,,,,,,,,,,
64,multithread,2,13.89424503,,,,,,,,,,,,,
64,multithread,4,21.97479418,,,,,,,,,,,,,
64,gvulkan,1,8.90121133,,,,,,,,,,,,,
64,gvulkan,2,17.03280446,,,,,,,,,,,,,
64,gvulkan,4,32.82922957,,,,,,,,,,,,,
128,benchmark,1,4.292226472,,,,,,,,,,,,,
128,benchmark,2,6.845462282,,,,,,,,,,,,,
128,benchmark,4,10.70209259,,,,,,,,,,,,,
128,multithread,1,4.263670056,,,,,,,,,,,,,
128,multithread,2,7.085384496,,,,,,,,,,,,,
128,multithread,4,11.40726136,,,,,,,,,,,,,
128,gvulkan,1,4.466644883,,,,,,,,,,,,,
128,gvulkan,2,8.546309908,,,,,,,,,,,,,
128,gvulkan,4,16.51310912,,,,,,,,,,,,,
256,benchmark,1,2.171303912,,,,,,,,,,,,,
256,benchmark,2,3.532476569,,,,,,,,,,,,,
256,benchmark,4,5.623773385,,,,,,,,,,,,,
256,multithread,1,2.153412762,,,,,,,,,,,,,
256,multithread,2,3.596983239,,,,,,,,,,,,,
256,multithread,4,5.810157256,,,,,,,,,,,,,
256,gvulkan,1,2.220500495,,,,,,,,,,,,,
256,gvulkan,2,4.262684806,,,,,,,,,,,,,
256,gvulkan,4,8.223593964,,,,,,,,,,,,,
